perioada:1981 - 2010
parametru:Temperatura aer - medie lunara (TEMP_MEDL)
cod;statia;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;anuala
element: media
457600;PLOIESTI;-1.3;-0.1;4.8;10.8;16.7;20.3;22.3;21.8;16.6;10.8;4.6;-0.3;10.6
644715;PLOPANA;-2.1;-1.3;2.9;9.3;15.2;18.6;20.2;19.7;15.2;9.6;2.7;-1.1;9
713715;PODU ILOAIEI;-1.9;-1.9;3.8;10;16.3;19.2;20.7;20.1;15.8;10.1;2.8;-0.1;9.5
536533;POIANA BRASOV;-3;-2.3;0.4;5.8;11;14.5;16.5;16;11.2;7;2.1;-2.4;6.4
719507;POIANA STAMPEI;-6;-5.1;-1.1;4.6;10.2;13.4;15;14.5;9.9;5.1;-0.4;-4.5;4.6
511349;POLOVRAGI;-1.4;-0.3;3.7;9.6;14.8;18.3;20.4;19.7;14.8;9.5;3.9;-0.3;9.4
426508;POPESTI;-1.9;-0.9;3.9;10.5;16.1;20.1;22.1;21.5;16.5;10.2;3.6;-0.7;10.1
534533;POSTAVARU;-6.1;-6.5;-4.5;0.4;5.6;9.3;11.2;11.3;6.5;3.5;-1.5;-5.2;2
530535;PREDEAL;-4.3;-4.1;-0.8;4.6;10.2;13.4;15.1;14.5;10.1;5.6;0.7;-3.2;5.2
633209;PRISACA HASMAS;-3.5;-3;2.3;5.1;13.9;16;16.8;17.3;16.1;-;-;-;-
751555;RADAUTI;-3.4;-2.4;1.8;8;14;17.1;18.8;18;13.1;7.9;2.1;-2.2;7.7
727527;RARAU;-6.5;-6.7;-4;1.2;6.7;9.9;11.6;11.6;7.6;3.5;-1.9;-5.2;2.3
734711;RAUSENI;-2.6;-1.7;3.1;9.9;16.4;19.5;21;20;15.2;9.4;2.5;-1.2;9.3
518155;RESITA;-0.1;1.4;5.7;10.9;15.8;18.7;20.6;20.3;15.7;11;5.8;1.5;10.6
506422;RM. VILCEA;-0.7;0.9;5.6;11.2;16.4;19.9;21.9;21.3;16.5;11;5.1;0.6;10.8
523703;RM.SARAT;-0.6;0.6;5;11;17.1;20.6;22.7;22.1;17;11.4;5.1;0.4;11
655650;ROMAN;-2.9;-1.7;3.1;9.6;15.6;18.8;20.5;19.7;14.9;9.4;3.2;-1.7;9
619308;ROSIA MONTANA;-3.8;-3.6;-0.3;5.3;10.5;13.2;15.5;15.5;10.8;6.7;1.5;-2.7;5.7
407500;ROSIORII DE VEDE;-1.8;0.1;5.5;11.5;17.3;21.1;23.3;22.8;17.7;11.5;4.8;-0.4;11.1
722205;SACUIENI;-1;0.5;5.5;11.4;16.9;19.7;21.6;20.9;16.1;11;5.2;0.4;10.6
649136;SALONTA;-0.7;0.3;4.9;10.9;16.3;19.1;21.4;20.9;15.9;10.5;4.4;0.1;10.3
645410;SARMASU;-3.1;-1.5;4;10;15.3;18.2;19.9;19.5;14.9;9.6;3.4;-1.6;9.1
748253;SATU MARE;-2;-0.6;4.6;10.5;16;19;20.9;20.1;15;9.8;4.3;-0.3;9.8
557334;SEBES-ALBA;-2.2;-0.4;4.6;10.3;15.6;18.8;20.6;20;15.2;9.4;3.4;-0.9;9.5
651652;SECUIENI NEAMT;-3.1;-2.5;2.4;9.1;15.3;18.5;19.8;19.3;14.8;9;1.9;-2;8.5
507158;SEMENIC;-4.9;-5.2;-2.3;2.8;8.3;11.3;13.5;13.5;9;4.8;-0.1;-3.7;3.9
552548;SF. GHEORGHE-COVASNA;-4.1;-3.3;2.2;8.2;13.7;16.8;18.4;17.7;12.9;7.7;2.1;-2.9;7.5
454936;SF. GHEORGHE-DELTA;0.8;1.2;4.5;10;16;20.5;22.8;22.1;17.4;12.3;6.9;2.4;11.4
548409;SIBIU;-2.8;-1.2;3.8;9.6;14.9;18;19.7;19.1;14.4;9.1;3.4;-1.3;8.9
758355;SIGHETUL MARMATIEI;-2.7;-1.2;3.7;9.7;15.1;17.9;19.6;19;14;9.1;3.6;-1.2;8.9
522532;SINAIA FURNICA;-2.3;-1.7;3.2;5.2;10.4;13.7;15.4;15.2;10.1;7.3;-;-;-
521533;SINAIA ORAS;-1.5;-1.5;2.8;6.4;11.2;15.4;17.3;17;11.8;8.1;4.2;-1.9;7.2
523530;SINAIA-1500;-4.7;-5.1;-2.2;2.8;8.2;11.3;13.3;13.2;9;5;0.3;-3.4;4
604037;SINNICOLAUL MARE;-0.9;0.7;5.6;11.4;17.1;20.1;22.2;21.8;16.8;11.3;5.2;0.6;11
616140;SIRIA;-0.5;0.8;4.7;10.6;15.6;18.4;20.8;20.9;16;11.4;5.8;0.7;10.4
426421;SLATINA;-1.2;0.7;5.6;11.5;17.2;20.8;22.9;22.3;17.3;11.4;5;0.1;11.1
433724;SLOBOZIA;-1.2;0.3;5.1;11;17.1;21.1;23.2;22.6;17.6;11.6;5.2;0.2;11.2
443611;SNAGOV;-1.3;-0.2;4.8;10.7;15.7;20;22.3;21.6;16.5;10.4;4.6;-0.9;10.4
641237;STANA DE VALE;-5.1;-4.8;-1.5;3.1;8.9;12.1;13.8;13.2;8.8;4.8;0.1;-3.8;4.1
455454;STEFANESTI ARGES;-0.8;-0.6;4.7;10.4;15.7;18.7;20.6;19.9;16.6;10.5;4.1;0.8;10.1
749713;STEFANESTI STINCA;-2.8;-1.4;3.1;10.1;16;19.4;21.5;20.8;15.4;9.9;3.9;-0.7;9.6
632229;STEI (PETRU GROZA);-0.6;0.5;5;10.4;15.4;18.3;20.2;19.8;15.1;10.5;5.3;1;10
436447;STOLNICI;-1.5;-0.1;4.8;10.7;16.4;20.2;22.1;21.5;16.5;10.5;4.4;-0.3;10.4
710657;STRUNGA;-2.8;-2.1;2.4;9;15.1;18.4;20;19.3;14.7;9.1;2.1;-1.8;8.6
739615;SUCEAVA;-3;-2;2.2;8.4;14.3;17.4;19.2;18.5;13.8;8.5;2.5;-1.9;8.2
509940;SULINA;0.9;1.2;4.5;10;16.1;20.5;23;22.8;18.4;13.4;7.5;2.8;11.8
509941;SULINA ORAS;0.8;2.4;5.4;10.3;15.5;19.6;22.5;21.5;16.2;11.1;5.3;2.5;11.5
728247;SUPURU DE JOS;-1.8;-0.4;4.5;10.2;15.8;18.7;20.6;19.8;14.8;9.6;4.3;-0.3;9.7
